X;CH1;CH2;
Second;Volt;Volt;
-2,02400e-01;1,60e-01;-6,00e-02
-2,02283e-01;1,60e-01;-6,00e-02
-2,02166e-01;1,60e-01;-6,00e-02
-2,02048e-01;1,60e-01;-6,00e-02
-2,01931e-01;1,60e-01;-6,00e-02
-2,01814e-01;1,60e-01;-6,00e-02
-2,01697e-01;1,60e-01;-6,00e-02
-2,01580e-01;1,60e-01;-6,00e-02
-2,01463e-01;1,60e-01;-6,00e-02
-2,01345e-01;1,60e-01;-6,00e-02
-2,01228e-01;1,60e-01;-7,99e-02
-2,01111e-01;1,60e-01;-6,00e-02
-2,00994e-01;7,99e-02;-6,00e-02
-2,00877e-01;7,99e-02;-6,00e-02
-2,00759e-01;1,60e-01;-6,00e-02
-2,00642e-01;7,99e-02;-6,00e-02
-2,00525e-01;1,60e-01;-6,00e-02
-2,00408e-01;7,99e-02;-6,00e-02
-2,00291e-01;7,99e-02;-6,00e-02
-2,00173e-01;1,60e-01;-6,00e-02
-2,00056e-01;7,99e-02;-7,99e-02
-1,99939e-01;7,99e-02;-6,00e-02
-1,99822e-01;7,99e-02;-7,99e-02
-1,99705e-01;7,99e-02;-6,00e-02
-1,99588e-01;7,99e-02;-6,00e-02
-1,99470e-01;1,60e-01;-1,00e-01
-1,99353e-01;7,99e-02;-6,00e-02
-1,99236e-01;1,60e-01;-6,00e-02
-1,99119e-01;1,60e-01;-6,00e-02
-1,99002e-01;7,99e-02;-6,00e-02
-1,98884e-01;1,60e-01;-6,00e-02
-1,98767e-01;1,60e-01;-6,00e-02
-1,98650e-01;1,60e-01;-7,99e-02
-1,98533e-01;1,60e-01;-6,00e-02
-1,98416e-01;1,60e-01;-6,00e-02
-1,98298e-01;1,60e-01;-6,00e-02
-1,98181e-01;7,99e-02;-6,00e-02
-1,98064e-01;1,60e-01;-6,00e-02
-1,97947e-01;1,60e-01;-6,00e-02
-1,97830e-01;7,99e-02;-6,00e-02
-1,97713e-01;1,60e-01;-6,00e-02
-1,97595e-01;7,99e-02;-6,00e-02
-1,97478e-01;1,60e-01;-6,00e-02
-1,97361e-01;7,99e-02;-6,00e-02
-1,97244e-01;7,99e-02;-7,99e-02
-1,97127e-01;1,60e-01;-7,99e-02
-1,97009e-01;1,60e-01;-6,00e-02
-1,96892e-01;7,99e-02;-6,00e-02
-1,96775e-01;1,60e-01;-6,00e-02
-1,96658e-01;7,99e-02;-7,99e-02
-1,96541e-01;1,60e-01;-6,00e-02
-1,96423e-01;1,60e-01;-6,00e-02
-1,96306e-01;7,99e-02;-7,99e-02
