      Wavelength,  spectrum,    dark current
      1.54211      5632.00      5571.74
      1.54230      5643.00      5586.74
      1.54249      5652.00      5599.74
      1.54268      5683.00      5637.74
      1.54287      5557.00      5460.74
      1.54306      5748.00      5622.74
      1.54325      5720.00      5591.74
      1.54344      5666.00      5529.74
      1.54363      5766.00      5619.74
      1.54382      5700.00      5543.74
      1.54401      5739.00      5583.74
      1.54420      5719.00      5542.74
      1.54439      5702.00      5479.74
      1.54458      5805.00      5628.74
      1.54477      5401.00      5243.74
      1.54496      5785.00      5629.74
      1.54515      5560.00      5433.74
      1.54534      5630.00      5501.74
      1.54553      5645.00      5529.74
      1.54572      5640.00      5533.74
      1.54591      5485.00      5398.74
      1.54610      5542.00      5427.74
      1.54629      5707.00      5605.74
      1.54648      5591.00      5522.74
      1.54667      5660.00      5564.74
      1.54686      5491.00      5399.74
      1.54705      5533.00      5463.74
      1.54724      5496.00      5427.74
      1.54743      5566.00      5508.74
      1.54761      5713.00      5656.74
      1.54780      5500.00      5441.74
      1.54799      5662.00      5642.74
      1.54818      5605.00      5537.74
      1.54837      5581.00      5518.74
      1.54856      5525.00      5485.74
      1.54875      5511.00      5479.74
      1.54894      5524.00      5474.74
      1.54913      5622.00      5551.74
      1.54932      5413.00      5379.74
      1.54951      5596.00      5521.74
      1.54970      5564.00      5532.74
      1.54988      5425.00      5392.74
      1.55007      5693.00      5590.74
      1.55026      5616.00      5537.74
      1.55045      5502.00      5457.74
      1.55064      5601.00      5506.74
      1.55083      5536.00      5470.74
      1.55102      5424.00      5312.74
      1.55121      5612.00      5564.74
      1.55140      5442.00      5375.74
      1.55158      5525.00      5482.74
      1.55177      5577.00      5520.74
      1.55196      5509.00      5411.74
      1.55215      5541.00      5461.74
      1.55234      5425.00      5380.74
      1.55253      5634.00      5563.74
      1.55272      5500.00      5449.74
      1.55290      5523.00      5494.74
      1.55309      5496.00      5432.74
      1.55328      5472.00      5420.74
      1.55347      5588.00      5499.74
      1.55366      5462.00      5393.74
      1.55385      5560.00      5460.74
      1.55403      5532.00      5452.74
      1.55422      5633.00      5522.74
      1.55441      5617.00      5527.74
      1.55460      5603.00      5489.74
      1.55479      5646.00      5556.74
      1.55498      5619.00      5490.74
      1.55516      5469.00      5337.74
      1.55535      5553.00      5464.74
      1.55554      5724.00      5605.74
      1.55573      5609.00      5504.74
      1.55592      5496.00      5383.74
      1.55610      5559.00      5463.74
      1.55629      5633.00      5534.74
      1.55648      5642.00      5510.74
      1.55667      5557.00      5422.74
      1.55686      5469.00      5395.74
      1.55704      5580.00      5493.74
      1.55723      5489.00      5426.74
      1.55742      5589.00      5498.74
      1.55761      5463.00      5380.74
      1.55779      5580.00      5482.74
      1.55798      5516.00      5460.74
      1.55817      5594.00      5519.74
      1.55836      5481.00      5401.74
      1.55855      5636.00      5566.74
      1.55873      5540.00      5477.74
      1.55892      5448.00      5375.74
      1.55911      5452.00      5397.74
      1.55930      5610.00      5523.74
      1.55948      5600.00      5525.74
      1.55967      5595.00      5507.74
      1.55986      5465.00      5351.74
      1.56005      5579.00      5473.74
      1.56023      5692.00      5565.74
      1.56042      5655.00      5517.74
      1.56061      5527.00      5379.74
      1.56079      5571.00      5461.74
      1.56098      5625.00      5515.74
      1.56117      5689.00      5557.74
      1.56136      5603.00      5491.74
      1.56154      5489.00      5416.74
      1.56173      5645.00      5545.74
      1.56192      5693.00      5596.74
      1.56210      5515.00      5431.74
      1.56229      5808.00      5729.74
      1.56248      5582.00      5515.74
      1.56267      5554.00      5459.74
      1.56285      5564.00      5463.74
      1.56304      5757.00      5674.74
      1.56323      5546.00      5471.74
      1.56341      5632.00      5504.74
      1.56360      5526.00      5472.74
      1.56379      5580.00      5513.74
      1.56397      5659.00      5585.74
      1.56416      5701.00      5606.74
