   1.7540169e+00   1.5722011e+00   1.0651155e+00   5.4262382e-01   2.2665304e+00   1.0243194e+00   2.0236316e+00   2.2665304e+00   1.0243194e+00
   7.7042657e-01   4.4280537e-01   7.1442833e-01   9.7627162e-01   1.5412964e+00   1.7525094e+00   9.6220037e-01   1.5412964e+00   1.7525094e+00
   2.7041867e-01   7.1600667e-01   1.1029352e+00   1.2333141e+00   1.0651236e+00   2.2360680e+00   1.1785807e+00   1.0651236e+00   2.2360680e+00
   1.2986427e+00   5.7032438e-01   5.8200123e-01   7.1788610e-01   1.0354412e+00   1.6256528e+00   1.3619091e+00   1.0354412e+00   1.6256528e+00
   2.8017241e-01   1.0622635e+00   1.4057312e+00   1.4748127e+00   1.5195214e+00   1.6170866e+00   3.8067956e-01   1.5195214e+00   1.6170866e+00
   1.2020070e+00   3.1463264e-01   1.3585168e+00   5.6242532e-01   7.8927452e-01   2.6306682e-01   9.6603697e-01   7.8927452e-01   2.6306682e-01
   1.4499394e+00   9.7432740e-01   1.5672112e+00   1.3017075e+00   1.7659243e+00   1.2384148e+00   1.3166122e+00   1.7659243e+00   1.2384148e+00
   6.4821401e-01   6.4919581e-01   1.0000000e+00   1.0262633e+00   1.6083203e-01   6.3541018e-01   9.7047015e-01   1.6083203e-01   6.3541018e-01
   1.1789922e+00   5.7708614e-01   5.3069370e-01   1.5004361e+00   1.0554382e+00   8.3033314e-01   9.4105366e-01   1.0554382e+00   8.3033314e-01
   5.7691736e+01   7.4260061e-01   1.3657391e+00   5.7449062e-01   1.2608192e+00   3.6577187e-01   1.0323387e+00   1.2608192e+00   3.6577187e-01
   5.7683624e-01   1.3650996e-01   1.2392878e+00   1.4262840e+00   1.0987561e+00   1.1979035e+00   6.4392092e-01   1.0987561e+00   1.1979035e+00
   4.0000000e-01   6.8099451e-01   1.4375263e+00   1.3732240e+00   2.3610970e-01   1.2167055e+00   6.6279213e-01   2.3610970e-01   1.2167055e+00
   1.2078948e+00   5.9141630e-01   1.2146386e+00   1.0497627e+00   6.3095316e-01   9.6530516e-01   1.3233960e+00   6.3095316e-01   9.6530516e-01
   8.2333304e-02   1.4337209e+00   1.6400534e+00   4.3244123e-01   1.1361997e+00   1.8716939e+00   9.9329781e-01   1.1361997e+00   1.8716939e+00
