#Datum: 21.01.2016 16:19:43
#Quelle: Methan_differenz

#Daten:
cm-1;%T
450;100,071040608618
451;100,120306026952
452;100,019669296482
453;99,9701997092136
454;100,067621773449
455;100,110617609487
456;99,9903625228242
457;99,8937030999155
458;99,958110735571
459;100,026624915111
460;99,9816007736599
461;99,9615060759261
462;100,040401953634
463;100,065081870089
464;99,9702189853559
465;99,9239234792354
466;100,001495181956
467;100,043902378628
468;99,9627245372381
469;99,8909645791696
470;99,9034503032524
471;99,8779075532522
472;99,7868238414722
473;99,8056332296554
474;99,9781273639704
475;100,101135522456
476;100,078105246625
477;100,047612423962
478;100,093799044579
479;100,113032340704
480;100,061861120715
481;100,056193129372
482;100,125239128265
483;100,133194085436
484;100,049920708571
485;100,023410476775
486;100,098378452825
487;100,134674891563
488;100,073407793876
489;100,029058976242
490;100,053117270592
491;100,047922714736
492;99,9843801259256
493;99,9705498152677
494;100,032879569782
495;100,048747276717
496;99,9844827708165
497;99,955718868921
498;99,9989617732556
499;100,005487414788
500;99,9393975659792
501;99,9125240812323
502;99,9677071677957
503;99,9941939917484
504;99,9410967513021
505;99,9047293087204
506;99,9318081679204
507;99,9430358726924
508;99,9161410738553
509;99,9416582304657
510;100,026044711339
511;100,053712571209
512;99,9994929084438
513;99,974305643916
514;100,015667826643
515;100,020857479529
516;99,9546257759136
517;99,9224939860342
518;99,9714310956714
519;100,004738939357
520;99,9787612085848
521;99,983498919197
522;100,047629908408
523;100,069794106221
524;100,012542971909
525;99,975190392977
526;100,007014622194
527;100,025647314161
528;99,9930675089396
529;99,9877044806569
530;100,032685854265
531;100,04431083963
532;100,003155234244
533;99,9972246219516
534;100,046045381542
535;100,056086583228
536;100,002560297651
537;99,9797048443394
538;100,021827706582
539;100,036517785427
540;99,9884416380429
541;99,9648461609309
542;100,001570566896
543;100,014808418824
544;99,9677082480346
545;99,9381602949627
546;99,9610048817094
547;99,9644594668875
548;99,9247228522258
549;99,9193149257519
550;99,9688157372009
551;99,9887401648951
552;99,9522449984194
553;99,9424602464348
554;99,9897177269278
555;100,016131697051
556;99,9902864858432
557;99,9823048698947
558;100,014171719147
559;100,011500452955
560;99,9546949233934
