#Datum: 21.01.2016 16:19:43
#Quelle: Methan

#Daten:
#cm-1 %T
450 79,6676665833973
451 79,862660051356
452 79,8977427760603
453 79,9621145535426
454 80,1664172120892
455 80,3491499224559
456 80,4024983184741
457 80,4655077873666
458 80,6604520996071
459 80,8727344618428
460 81,0058846142177
461 81,1649649034204
462 81,3963484131581
463 81,5558797591055
464 81,5864536380136
465 81,6457620698014
466 81,8149347414693
467 81,9745106588456
468 82,0540416929908
469 82,1480346079049
470 82,2859246868676
471 82,3353359821688
472 82,290771040833
473 82,3530406977974
474 82,5789716607895
475 82,7680944796335
476 82,8231374984808
477 82,8787555354662
478 83,0195922420254
479 83,1428484717536
480 83,1957315776686
481 83,2790455796127
482 83,4217582787566
483 83,5018075959689
484 83,4959550854216
485 83,5417173651648
486 83,6754754342771
487 83,7674951827714
488 83,7699514817514
489 83,7914313809599
490 83,8741771020017
491 83,9244491911353
492 83,9201151191476
493 83,9681292847872
494 84,0955852160879
495 84,1815012585821
496 84,1863459186686
497 84,2133406203571
498 84,3008267986012
499 84,3562882104763
500 84,3464222725934
501 84,3666821228541
502 84,4511926477738
503 84,5020101271922
504 84,4853084254179
505 84,4978729885015
506 84,5753871245889
507 84,6264511639674
508 84,6186995601659
509 84,644035525008
510 84,7262488351068
511 84,7724941481659
512 84,7626103073175
513 84,7876170067129
514 84,8661543051697
515 84,8911778542468
516 84,8324658660656
517 84,8039465548419
518 84,8636977520904
519 84,917853261064
520 84,9131032717142
521 84,9319111783396
522 85,0086447952163
523 85,0518538301224
524 85,0242711363122
525 85,0187124164874
526 85,081731649615
527 85,1287183622562
528 85,1152329960514
529 85,1182635412223
530 85,1687160364836
531 85,1922871395726
532 85,1688456031036
533 85,1782322569324
534 85,2396712687299
535 85,2663638771779
536 85,2327141041749
537 85,2235309506626
538 85,2716538066526
539 85,2907536926193
540 85,2521210593368
541 85,2434131714005
542 85,2961556213614
543 85,3206059878521
544 85,2772779985253
545 85,2478041604604
546 85,2731755343342
547 85,2819048008501
548 85,2452197416168
549 85,240488642449
550 85,2948277415208
551 85,3259882508984
552 85,2991489827984
553 85,290239997533
554 85,3343475443515
555 85,3644702412075
556 85,3524263685998
557 85,3620972598732
558 85,4082952691334
559 85,4140154539858
560 85,3608578502552
561 85,3353464750214
562 85,368264345167
563 85,3786322285243
564 85,3340823474888
565 85,3105516633264
566 85,3387355862946
567 85,3473406589089
568 85,3168866167736
569 85,3253367546756
570 85,3946433488456
571 85,4389115676291
572 85,4190224838692
573 85,4009652406273
574 85,4109340986735
575 85,3893403899387
576 85,3317699618515
577 85,3222141661872
