#Datum: 21.01.2016 16:19:44
#Quelle: aspirin

#Daten:
cm-1;A
515;0.0370354983361774
516;0.0293331478771774
517;0.0217235489039394
518;0.0161874248635572
519;0.0129620329153033
520;0.010923418801152
521;0.00889607404837944
522;0.00660511867678437
523;0.00491368830990391
524;0.00469105821645988
525;0.00542567517391146
526;0.00629745192361608
527;0.00695612501095666
528;0.00723537158395793
529;0.00725075362026528
530;0.00735363364069563
531;0.00780589385167985
532;0.00841826986335881
533;0.00877277497996176
534;0.00887673705533576
535;0.00907084793385304
536;0.00957295477274589
537;0.0104253228725995
538;0.0116950799165272
539;0.0133587239317499
540;0.0150402566350061
541;0.0163088002451031
542;0.0170257792293229
543;0.0170739982980217
544;0.0161847019233856
545;0.0143111528417039
546;0.0118770492520197
547;0.00956919436516124
548;0.00789286197549721
549;0.0068859475260119
550;0.00641088929462819
551;0.00646841815245769
552;0.0069496253812027
553;0.00749414211791
554;0.00790701273135719
555;0.00837524518962773
556;0.00911908505736081
557;0.0101021548796278
558;0.0112154358685905
559;0.0124183331107732
560;0.0135871121327611
561;0.0145211749273924
562;0.0151437023456547
563;0.0154824522912354
564;0.0154596071939512
565;0.0149198909454733
566;0.013882700080085
567;0.0126529343275348
568;0.0116067213768543
569;0.0108159658371865
570;0.0101007834887048
571;0.00940174351375211
572;0.00882645865362641
573;0.00842100100154952
574;0.00815359284252626
575;0.00803394749236808
576;0.00801961398304685
577;0.00796579970857647
578;0.00785631835652345
579;0.00789610850482458
580;0.00821698699418061
581;0.00867045035373049
582;0.00907396696107599
583;0.00943548100156266
584;0.00982179155400842
585;0.0102337460654296
586;0.0107086835893602
587;0.0113569557232887
588;0.0122086024183843
589;0.0131751856778628
590;0.0142268393113283
591;0.0154513349377829
592;0.0169258862756882
593;0.0186821387537113
594;0.0207747947342343
595;0.0231626024750455
596;0.0255035878679744
597;0.027269737705168
598;0.0280262215992799
599;0.0275201724270324
600;0.0257673883422049
601;0.0231337380165972
602;0.0201603848225098
603;0.0173396465862334
604;0.0149668318899607
605;0.0130339742862884
606;0.011361745825107
607;0.00988682951519415
608;0.00870741080940229
609;0.00787322537869639
610;0.00731122631045933
611;0.00694901540181303
612;0.00674451181154789
613;0.00662501676458849
614;0.00654801583127873
615;0.00655253254029442
616;0.00662762803101713
617;0.00665421367653307
618;0.00660272224870373
619;0.00662452826818649
620;0.00679734713755864
621;0.00696155717107838
622;0.00696398026510869
623;0.00688133515240907
624;0.00687177848925757
625;0.00695210119697243
626;0.00705600204977164
627;0.00717828249513364
628;0.00733569714730464
629;0.00749877844788771
630;0.00766443368139314
631;0.00789593136602695
632;0.00821316451931375
633;0.00854799222107472
634;0.00888183890823879
635;0.00931764643292521
636;0.00994428007915005
637;0.0107520709163327
638;0.0117753321882244
639;0.0131698226245145
640;0.0150070278481429
641;0.017063648569799
642;0.0188904931493614
643;0.0200352767884544
644;0.0202638612875972
645;0.0196512587239397
646;0.0184129539066624
647;0.01671767312481
648;0.0147241301889998
649;0.0126978169450904
650;0.0109981656825637
651;0.00991604213097586
652;0.00947361188063978
653;0.0094352722940243
654;0.00959488765775096
655;0.00994764343730581
656;0.0105327738431813
657;0.0112984802670602
658;0.0122327074062789
659;0.0134529959657912
660;0.0150637386239365
661;0.0170938482916252
662;0.019640605698287
663;0.0227716221345298
664;0.0262048604445995
665;0.0293335427982882
666;0.0313810175293574
667;0.0309536968421586
668;0.0266747227729656
669;0.0206156622802016
670;0.0160697803624059
671;0.0131875808368216
672;0.0110725322083085
673;0.00942438434968018
674;0.0082801754991042
675;0.00760166369192139
676;0.00722451539258007
677;0.00704052759805318
678;0.00699855941946459
679;0.00703652772991958
680;0.0071063701746652
681;0.00721542138182407
682;0.00738390968630176
683;0.00759727238746044
684;0.00782891171983713
685;0.00807537844960149
686;0.00834610980885686
687;0.00864502774142339
688;0.00898071383553023
689;0.00937416809831881
690;0.00984198910545131
691;0.0103869425533207
692;0.0110187359003138
693;0.0117767247389895
694;0.0127241545921373
695;0.0139274341341114
696;0.015447076351794
697;0.0173438555249552
698;0.019699147746765
699;0.0226521796569554
700;0.0264209151771504
701;0.0311872273712623
702;0.036710088580189
703;0.0417778473926342
704;0.0441773055169188
705;0.0420611792911132
706;0.0358114454897913
707;0.0278255702921366
708;0.0205238548185016
709;0.0150938245151613
710;0.0115690840838376
711;0.00944718838978709
712;0.00820100910094812
713;0.00747009243229013
714;0.00703875088329919
715;0.0067793810469341
716;0.00662273319239714
717;0.00653635422928134
718;0.00650875642962001
719;0.00654088933524988
720;0.00662680054539244
721;0.00673414666001948
722;0.00682400232150293
723;0.00689454172771664
724;0.00698358285495826
725;0.00712345121441271
726;0.00730944948689127
727;0.00751497662813372
728;0.00772159002717698
729;0.00792984676675812
730;0.00815473117788112
731;0.00841529297096022
732;0.00871915868787276
733;0.00905680406096443
734;0.00942055191435087
735;0.00982233429647317
736;0.0102781963737941
737;0.0107852467605944
738;0.0113345505102456
739;0.011941345931374
740;0.0126426261747399
741;0.0134698646702875
742;0.0144458311472548
