#Datum: 21.01.2016 16:19:44
#Quelle: teflon_spacer

#Daten:
cm-1 %T
1100 50,322061902152
1101 50,6983320212488
1102 51,0688977596597
1103 51,4373306550264
1104 51,8224582474055
1105 52,2178659679654
1106 52,6043867125923
1107 52,9899726367771
1108 53,3931300809128
1109 53,8029277146081
1110 54,195501558424
1111 54,5767220924248
1112 54,9677343153897
1113 55,3631778320069
1114 55,7432004144798
1115 56,1128416833607
1116 56,4899802946664
1117 56,8672811900791
1118 57,2249778606157
1119 57,5687891103173
1120 57,9170469812878
1121 58,2629901376084
1122 58,5874272816693
1123 58,8960653734744
1124 59,2073141427728
1125 59,5151096642225
1126 59,7998487333802
1127 60,0650887982903
1128 60,3283816307688
1129 60,5858857028749
1130 60,8206012800526
1131 61,0367006290887
1132 61,2521406065489
1133 61,4658030879752
1134 61,6642925464661
1135 61,8518479206156
1136 62,0413115573276
1137 62,2249349880512
1138 62,3861842314968
1139 62,5320589270881
1140 62,6830426360133
1141 62,8389071180388
1142 62,9842807201926
1143 63,1203450178549
1144 63,2612209814814
1145 63,4062208737331
1146 63,5450405541664
1147 63,6831427317442
1148 63,8331755498411
1149 63,9888804095066
1150 64,1356807897992
1151 64,2792708362016
1152 64,4366262446579
1153 64,6070526889113
1154 64,7786418554144
1155 64,9545019361957
1156 65,145879467864
1157 65,3480783685984
1158 65,5501834062962
1159 65,7601344931691
1160 65,9932321461978
1161 66,2440956698497
1162 66,4962835581472
1163 66,7508926084299
1164 67,0198255781237
1165 67,2997601312122
1166 67,5785247388557
1167 67,8594448087519
1168 68,1549582518524
1169 68,4631155684904
1170 68,7730031192398
1171 69,0856695554156
1172 69,4076252027513
1173 69,7319129264282
1174 70,0473681285866
1175 70,3581586456305
1176 70,6733811738539
1177 70,9866318220779
1178 71,2863676246497
1179 71,5767132516604
1180 71,8675751204921
1181 72,1533084917643
1182 72,4215634425515
1183 72,6748446159199
1184 72,9231656461334
1185 73,1632425097293
1186 73,3847725639054
1187 73,5898745700073
1188 73,7868006477696
1189 73,9714506264077
1190 74,134247413022
1191 74,2786959721613
1192 74,4147511693063
1193 74,5401032159074
1194 74,6457291938452
1195 74,7339615932867
1196 74,8138562396656
1197 74,8844567534144
1198 74,9396248145441
1199 74,9834581502997
1200 75,0238132321316
1201 75,0567323073122
1202 75,0748667280255
1203 75,0852903341378
1204 75,1012669781911
1205 75,1222071135407
1206 75,1390417101805
1207 75,1533887618504
1208 75,1740302107382
1209 75,2004275279982
1210 75,2276428785183
1211 75,2622671647033
1212 75,3152027276751
1213 75,3830587129747
1214 75,4543731540046
1215 75,5295824843683
1216 75,6178663360683
1217 75,7197318622136
1218 75,8298435279869
1219 75,9515255510234
1220 76,0914238019285
1221 76,2447582123999
1222 76,4018190794291
1223 76,5640594591945
1224 76,7388691489671
1225 76,9245737601936
1226 77,1158493468065
1227 77,317288760946
