#Datum: 21.01.2016 16:19:44
#Quelle: pulver_a

#Daten:
cm-1;%T
515;62,5113118285109
516;69,8490474317371
517;75,9556081770175
518;79,0938650675877
519;79,2318022786016
520;77,184729740273
521;73,956213521802
522;70,4100000157425
523;67,053489907463
524;64,0325996935295
525;61,3535210337289
526;59,0727789349827
527;57,1944716385059
528;55,6546403634941
529;54,3249447728076
530;53,2258635549823
531;52,6475067058099
532;53,0214717128384
533;54,6273899993701
534;57,3735325543248
535;60,7774767595656
536;64,1242852155464
537;66,7498448199902
538;68,340440221371
539;69,0500066701997
540;69,3209674083959
541;69,5403978840433
542;69,8020341486872
543;69,943159529579
544;69,7901307938626
545;69,3660429019292
546;68,8687199925767
547;68,4829744296884
548;68,2451475313103
549;68,0690719139063
550;67,8512186292896
551;67,5243226863011
552;67,0368776539535
553;66,3287772410225
554;65,342053418245
555;64,0353522307137
556;62,3776562525311
557;60,3564611454877
558;58,0382848288716
559;55,6431634979801
560;53,5417851319753
561;52,1334900729981
562;51,658351543838
563;52,0517900928174
564;52,9499002199432
565;53,8791759362252
566;54,5248032404192
567;54,8929899405976
568;55,2643708406251
569;55,9970568581252
570;57,328820403704
571;59,2857720649894
572;61,6960181201397
573;64,2510429769611
574;66,5906638041687
575;68,4197738528531
576;69,6202597554411
577;70,2673899033729
578;70,5212506004305
579;70,4968685573777
580;70,2335477845903
581;69,757758258189
582;69,1374871656174
583;68,4680394759756
584;67,8248319677308
585;67,2387264510104
586;66,6997014384947
587;66,1661829140206
588;65,5759742733806
589;64,8692684519891
590;64,0155408398431
591;63,0172593085899
592;61,8829173269302
593;60,6000473850505
594;59,1428805315988
595;57,5040573521763
596;55,7057044202001
597;53,7755207623331
598;51,7263438408796
599;49,5763983216799
600;47,3903838030851
601;45,284887913808
602;43,3823132623933
603;41,7701621986669
604;40,5246312448701
605;39,7744144111642
606;39,7131458494824
607;40,5036853219154
608;42,1285925915455
609;44,3144718608312
610;46,6150319047428
611;48,6189423472194
612;50,154158814526
613;51,3573687019299
614;52,5704863428016
615;54,1442089470294
616;56,2646058877238
617;58,8685408821247
618;61,6746592358134
619;64,3270469621746
620;66,5665242397865
621;68,3108585002626
622;69,6241109505551
623;70,6423256028512
624;71,5059246733485
625;72,3107225018216
626;73,0843033346838
627;73,7964533298821
628;74,3968343570531
629;74,8540521557698
630;75,1713239906456
631;75,3761159568649
632;75,5030274601836
633;75,5887001046014
634;75,6754672293365
635;75,8037456748954
636;75,987173909045
637;76,1946288726285
638;76,3659681858679
639;76,4521365253066
640;76,4402419858598
641;76,3429960675056
642;76,1739650974696
643;75,9386675352461
644;75,6428624177286
645;75,2986380717212
646;74,9188655675269
647;74,5088275761248
648;74,0658069773804
649;73,5871832774086
650;73,0784598769248
651;72,5520414785469
652;72,017329074323
653;71,4740869978386
654;70,9181895941882
655;70,3530469311625
656;69,7919380156568
657;69,2474911526703
658;68,7191982552014
659;68,187989943711
660;67,6198867698351
661;66,9812846379482
662;66,2709496869117
663;65,5412560720315
664;64,8663180753411
665;64,2771199193886
666;63,7192349316857
667;63,0517814736838
668;62,1493582951476
669;61,1219506195856
