      Wavelength,  spectrum,    dark current
      1.54211      5623.00      5594.47
      1.54230      5580.00      5559.47
      1.54249      5555.00      5556.47
      1.54268      5563.00      5573.47
      1.54287      5542.00      5531.47
      1.54306      5609.00      5607.47
      1.54325      5580.00      5558.47
      1.54344      5611.00      5532.47
      1.54363      5686.00      5558.47
      1.54382      5756.00      5594.47
      1.54401      5668.00      5536.47
      1.54420      5682.00      5571.47
      1.54439      5604.00      5505.47
      1.54458      5677.00      5601.47
      1.54477      5548.00      5464.47
      1.54496      5534.00      5486.47
      1.54515      5516.00      5446.47
      1.54534      5555.00      5510.47
      1.54553      5588.00      5569.47
      1.54572      5586.00      5531.47
      1.54591      5433.00      5386.47
      1.54610      5559.00      5505.47
      1.54629      5597.00      5552.47
      1.54648      5530.00      5507.47
      1.54667      5562.00      5528.47
      1.54686      5508.00      5497.47
      1.54705      5464.00      5450.47
      1.54724      5508.00      5473.47
      1.54743      5496.00      5517.47
      1.54761      5584.00      5595.47
      1.54780      5526.00      5506.47
      1.54799      5595.00      5563.47
      1.54818      5546.00      5558.47
      1.54837      5545.00      5539.47
      1.54856      5503.00      5488.47
      1.54875      5495.00      5470.47
      1.54894      5489.00      5481.47
      1.54913      5520.00      5530.47
      1.54932      5445.00      5443.47
      1.54951      5514.00      5520.47
      1.54970      5527.00      5507.47
      1.54988      5471.00      5458.47
      1.55007      5594.00      5574.47
      1.55026      5523.00      5493.47
      1.55045      5469.00      5458.47
      1.55064      5565.00      5515.47
      1.55083      5478.00      5432.47
      1.55102      5428.00      5368.47
      1.55121      5514.00      5484.47
      1.55140      5524.00      5444.47
      1.55158      5482.00      5435.47
      1.55177      5517.00      5494.47
      1.55196      5505.00      5456.47
      1.55215      5467.00      5425.47
      1.55234      5445.00      5415.47
      1.55253      5592.00      5532.47
      1.55272      5477.00      5475.47
      1.55290      5489.00      5460.47
      1.55309      5513.00      5477.47
      1.55328      5459.00      5435.47
      1.55347      5499.00      5458.47
      1.55366      5462.00      5446.47
      1.55385      5459.00      5439.47
      1.55403      5522.00      5472.47
      1.55422      5517.00      5472.47
      1.55441      5598.00      5508.47
      1.55460      5517.00      5455.47
      1.55479      5620.00      5525.47
      1.55498      5551.00      5479.47
      1.55516      5546.00      5400.47
      1.55535      5529.00      5448.47
      1.55554      5640.00      5525.47
      1.55573      5543.00      5487.47
      1.55592      5476.00      5408.47
      1.55610      5543.00      5487.47
      1.55629      5559.00      5515.47
      1.55648      5537.00      5497.47
      1.55667      5573.00      5488.47
      1.55686      5490.00      5419.47
      1.55704      5511.00      5444.47
      1.55723      5486.00      5431.47
      1.55742      5552.00      5535.47
      1.55761      5483.00      5430.47
      1.55779      5503.00      5490.47
      1.55798      5511.00      5480.47
      1.55817      5509.00      5475.47
      1.55836      5485.00      5467.47
      1.55855      5589.00      5558.47
      1.55873      5513.00      5480.47
      1.55892      5385.00      5387.47
      1.55911      5423.00      5417.47
      1.55930      5543.00      5546.47
      1.55948      5485.00      5486.47
      1.55967      5486.00      5475.47
      1.55986      5473.00      5396.47
      1.56005      5607.00      5532.47
      1.56023      5629.00      5510.47
      1.56042      5557.00      5474.47
      1.56061      5484.00      5421.47
      1.56079      5549.00      5459.47
      1.56098      5557.00      5493.47
      1.56117      5596.00      5531.47
      1.56136      5517.00      5454.47
      1.56154      5506.00      5469.47
      1.56173      5562.00      5529.47
      1.56192      5575.00      5547.47
      1.56210      5490.00      5476.47
      1.56229      5622.00      5586.47
      1.56248      5548.00      5533.47
      1.56267      5550.00      5504.47
      1.56285      5527.00      5517.47
      1.56304      5610.00      5568.47
      1.56323      5538.00      5489.47
